Peak_I30_mm/h,PropHM23,dNBR/1000,KF,Response
27.0,0.640942688,0.553901672,0.1299998,0
11.0,0.640942688,0.553901672,0.1299998,0
20.0,0.640942688,0.553901672,0.1299998,0
40.0,0.224442616,0.361215149,0.1300001,0
55.0,0.224442616,0.361215149,0.1300001,1
19.0,0.224442616,0.361215149,0.1300001,0
33.0,0.224442616,0.361215149,0.1300001,0
55.0,0.224442616,0.361215149,0.1300001,0
40.0,0.570461082,0.43611911,0.13,0
55.0,0.570461082,0.43611911,0.13,0
19.0,0.570461082,0.43611911,0.13,0
33.0,0.570461082,0.43611911,0.13,0
55.0,0.570461082,0.43611911,0.13,0
40.0,0.335505714,0.436790833,0.1300002,0
55.0,0.335505714,0.436790833,0.1300002,0
19.0,0.335505714,0.436790833,0.1300002,0
33.0,0.335505714,0.436790833,0.1300002,0
55.0,0.335505714,0.436790833,0.1300002,0
40.0,0.522987175,0.422690308,0.1509098,0
55.0,0.522987175,0.422690308,0.1509098,1
19.0,0.522987175,0.422690308,0.1509098,0
33.0,0.522987175,0.422690308,0.1509098,0
55.0,0.522987175,0.422690308,0.1509098,0
50.292,0.636502533,0.482616394,0.1778941,1
18.29,0.341515541,0.340773041,0.141753,0
16.256,0.692979965,0.443291412,0.178508,1
19.81,0.424142075,0.349895142,0.1296192,0
16.256,0.635787315,0.436200897,0.1799999,1
16.26,0.715272446,0.358015076,0.1604602,0
16.26,0.199251289,0.218182434,0.1254479,1
16.26,0.570438042,0.335270386,0.1447524,1
16.256,0.481120872,0.408538971,0.1799999,1
18.29,0.377346725,0.268034271,0.1655262,1
10.67,0.547076111,0.39010733,0.1815342,1
19.81,0.306338539,0.272520264,0.12,1
32.004,0.223292561,0.135460999,0.1898522,1
24.38,0.167288189,0.088487373,0.1817524,1
12.7,0.456604767,0.36701886,0.18,1
18.29,0.828007355,0.42927298,0.18,1
16.26,0.016807301,0.092665382,0.1327447,1
18.29,0.792648621,0.454635925,0.1800001,1
12.7,0.230896244,0.205633362,0.1452277,0
10.67,0.232923603,0.287261902,0.1799998,1
16.26,0.023063481,0.12399749,0.1199998,0
16.26,0.336488495,0.275454254,0.1204538,1
29.972,0.117439585,0.213859192,0.1834914,1
29.972,0.512886391,0.324145325,0.1800793,1
29.972,0.137776871,0.18830687,0.1800032,1
29.972,0.682873917,0.440170197,0.1805373,1
29.972,0.478293762,0.35742749,0.180063,1
29.972,0.587521095,0.349014923,0.1800263,1
24.89,0.153107491,0.210218063,0.1200946,0
28.45,0.494496346,0.367417175,0.1820192,1
24.89,0.070420866,0.158715241,0.1200778,0
12.192,0.04237752,0.088865715,0.1424362,1
9.14,0.230089378,0.223795242,0.1202875,1
9.14,0.155881977,0.170035934,0.1208284,0
15.75,0.098712578,0.248515213,0.12,0
15.75,0.303972855,0.288169495,0.1225219,0
31.5,0.394629593,0.528231628,0.1799999,0
31.5,0.356295242,0.491305817,0.1799999,0
31.5,0.448209572,0.598994934,0.1799999,1
31.5,0.207172432,0.52035614,0.1799999,1
31.5,0.130006752,0.43343454,0.1776912,1
42.67,0.283768597,0.502076019,0.18,0
37.08,0.107554626,0.431335877,0.179492,1
37.08,0.16962616,0.458823151,0.1800003,1
37.08,0.047976508,0.352202423,0.1799999,1
37.08,0.025421815,0.283936829,0.1798105,1
28.45,0.749362183,0.526439392,0.12,1
46.23,0.669066391,0.47775592,0.12761,1
22.352,0.704802933,0.424856628,0.18,1
22.352,0.672299805,0.523382507,0.1799998,1
39.12,0.202232418,0.226586609,0.1800891,0
46.23,0.630147247,0.499532074,0.1834688,1
22.352,0.668269424,0.486823975,0.1799999,0
22.352,0.781867371,0.53032019,0.1799999,1
28.448,0.464139633,0.411364197,0.1979263,1
28.448,0.494300652,0.424045349,0.1199999,1
28.448,0.626009483,0.562680908,0.1863924,1
28.448,0.506155815,0.402054169,0.1812862,1
28.448,0.564409027,0.508159699,0.1800047,1
28.448,0.499749794,0.427309998,0.180879,1
18.29,0.820819321,0.492897888,0.1799999,1
28.448,0.572999115,0.477294586,0.1199999,1
18.29,0.63675602,0.475109192,0.1800002,1
28.448,0.661195602,0.461627197,0.18,1
18.29,0.373227959,0.364474548,0.1276616,1
22.352,0.515456009,0.481836975,0.1763332,1
18.29,0.570329628,0.412358734,0.1799999,1
39.12,0.456125336,0.440223908,0.1200124,1
28.448,0.76161644,0.674695923,0.1815308,1
16.256,0.474586525,0.466946167,0.1435332,1
50.292,0.187356396,0.228564255,0.1814776,1
20.83,0.414595871,0.419772125,0.18,0
50.292,0.627164841,0.415715637,0.1799999,1
16.256,0.817290573,0.600071167,0.1817058,1
16.256,0.682106857,0.435579895,0.1802551,1
20.83,0.33444973,0.384677277,0.1800001,0
6.096,0.515008659,0.355510376,0.122628,0
16.256,0.735277252,0.456020569,0.1788878,1
3.05,0.288816299,0.292431122,0.2597966,0
10.16,0.332993355,0.270829163,0.1599999,0
10.16,0.248486595,0.211218597,0.16,0
10.16,0.084954262,0.142594544,0.1600001,0
10.16,0.0,0.095266678,0.1600001,0
8.64,0.066165466,0.41045694,0.16,0
6.095999,0.066165466,0.41045694,0.16,0
3.56,0.066165466,0.41045694,0.16,0
8.64,0.095082073,0.425409729,0.16,0
6.095999,0.095082073,0.425409729,0.16,0
3.56,0.095082073,0.425409729,0.16,0
8.64,0.062087097,0.439286316,0.1599998,0
3.56,0.062087097,0.439286316,0.1599998,0
4.06,0.062087097,0.439286316,0.1599998,0
14.224,0.873861618,0.132482651,0.26,1
11.18,0.873861618,0.132482651,0.26,0
21.34,0.873861618,0.132482651,0.26,0
8.13,0.873861618,0.132482651,0.26,0
14.224,0.620513992,0.113535881,0.2600001,1
11.18,0.620513992,0.113535881,0.2600001,0
21.34,0.620513992,0.113535881,0.2600001,0
8.13,0.620513992,0.113535881,0.2600001,0
14.224,0.777682648,0.1248153,0.2600001,1
11.18,0.777682648,0.1248153,0.2600001,0
21.34,0.777682648,0.1248153,0.2600001,0
8.13,0.777682648,0.1248153,0.2600001,0
14.224,0.884079742,0.207891586,0.2600003,1
10.16,0.884079742,0.207891586,0.2600003,0
18.8,0.884079742,0.207891586,0.2600003,0
8.13,0.884079742,0.207891586,0.2600003,0
14.224,0.791961136,0.044574284,0.26,1
10.16,0.791961136,0.044574284,0.26,0
18.8,0.791961136,0.044574284,0.26,0
8.13,0.791961136,0.044574284,0.26,0
14.224,0.741487961,0.183096741,0.2600004,1
10.16,0.741487961,0.183096741,0.2600004,0
18.8,0.741487961,0.183096741,0.2600004,0
8.13,0.741487961,0.183096741,0.2600004,0
14.224,0.067906675,0.069234535,0.259756,0
10.16,0.067906675,0.069234535,0.259756,0
18.8,0.067906675,0.069234535,0.259756,0
8.13,0.067906675,0.069234535,0.259756,0
12.4,0.040887923,0.089684166,0.2681331,0
30.4,0.040887923,0.089684166,0.2681331,0
12.4,0.225928974,0.100300263,0.259974,0
30.4,0.225928974,0.100300263,0.259974,0
11.2,0.757268295,0.238061691,0.1301133,0
28.8,0.757268295,0.238061691,0.1301133,0
33.02,0.028862264,0.111006447,0.2900441,0
33.02,0.006760011,0.034962032,0.290002,0
11.176,0.006760011,0.034962032,0.290002,0
11.176,0.468575287,0.484014008,0.295727,0
33.02,0.468575287,0.484014008,0.295727,1
33.02,0.683152237,0.505172058,0.2935358,1
60.96,0.586841164,0.449606415,0.2935259,0
17.78,0.586841164,0.449606415,0.2935259,0
60.96,0.315703468,0.400872559,0.2899615,1
17.78,0.315703468,0.400872559,0.2899615,1
60.96,0.438835869,0.52076471,0.2885815,1
17.78,0.438835869,0.52076471,0.2885815,1
11.176,0.488698273,0.325667603,0.3000865,0
33.02,0.488698273,0.325667603,0.3000865,0
60.96,0.518989906,0.362239044,0.2964492,1
17.78,0.518989906,0.362239044,0.2964492,1
60.96,0.091154728,0.293458618,0.3694123,1
17.78,0.091154728,0.293458618,0.3694123,1
60.96,0.466727638,0.344283386,0.3316133,1
17.78,0.466727638,0.344283386,0.3316133,1
60.96,0.189298725,0.258806976,3.5475347,1
17.78,0.189298725,0.258806976,3.5475347,1
60.96,0.593021889,0.495340698,0.3148682,1
17.78,0.593021889,0.495340698,0.3148682,1
60.96,0.659402847,0.361524841,0.5368291,1
17.78,0.659402847,0.361524841,0.5368291,1
60.96,0.566560249,0.436992889,0.3353475,1
17.78,0.566560249,0.436992889,0.3353475,1
60.96,0.301962109,0.353828491,0.2914681,1
17.78,0.301962109,0.353828491,0.2914681,1
60.96,0.615362244,0.42485965,0.29792,0
17.78,0.615362244,0.42485965,0.29792,0
60.96,0.563969727,0.508007782,11.3604183,1
17.78,0.563969727,0.508007782,11.3604183,1
60.96,0.619340057,0.458848389,0.2825995,0
17.78,0.619340057,0.458848389,0.2825995,0
60.96,0.417704811,0.542101746,0.26409,0
17.78,0.417704811,0.542101746,0.26409,0
60.96,0.50530323,0.549810913,0.2655392,0
17.78,0.50530323,0.549810913,0.2655392,0
19.304,0.773995743,0.581846375,0.29,1
15.24,0.773995743,0.581846375,0.29,1
19.304,0.698890991,0.590250977,0.29,1
15.24,0.698890991,0.590250977,0.29,1
19.304,0.733920975,0.549515442,0.29,1
15.24,0.733920975,0.549515442,0.29,1
19.304,0.538746948,0.447319275,0.2899999,0
6.0,0.182904873,0.440224731,0.0,0
6.0,0.693670883,0.533310791,0.0,0
6.0,0.884459457,0.582817627,0.0,0
10.0,0.57487114,0.323664459,0.0,0
24.0,0.57487114,0.323664459,0.0,0
10.0,0.753850937,0.517388733,0.0,1
24.0,0.753850937,0.517388733,0.0,0
10.0,0.747833939,0.484195679,0.0,0
24.0,0.747833939,0.484195679,0.0,0
10.0,0.225268364,0.272842651,0.0,0
24.0,0.225268364,0.272842651,0.0,1
10.0,0.124378109,0.303621887,0.0,0
24.0,0.124378109,0.303621887,0.0,0
10.668,0.301178856,0.238450882,0.2993079,0
14.224,0.484734383,0.3512341,0.2900977,0
20.828,0.484734383,0.3512341,0.2900977,1
6.604,0.201129227,0.423079987,0.2898802,1
10.16,0.201129227,0.423079987,0.2898802,1
9.144,0.201129227,0.423079987,0.2898802,1
9.144,0.177453461,0.369753479,0.2900003,0
10.668,0.363708992,0.488626953,0.2918189,1
10.668,0.172278175,0.29134195,0.291595,1
10.668,0.439948654,0.422646515,0.2935909,1
3.556,0.52674839,0.388528442,0.2912383,1
19.812,0.52674839,0.388528442,0.2912383,0
11.176,0.061763144,0.189733383,0.2989659,0
19.812,0.431548996,0.286436005,0.2925147,1
8.636,0.431548996,0.286436005,0.2925147,1
8.64,0.165445347,0.181423599,0.1531158,0
17.2,0.535435905,0.434573731,0.1987807,1
20.4,0.215901585,0.296689789,0.248117,1
17.2,0.215901585,0.296689789,0.248117,1
20.4,0.3458675,0.448667267,0.2407913,1
17.2,0.3458675,0.448667267,0.2407913,1
20.4,0.439083519,0.337842743,0.1600574,0
17.2,0.439083519,0.337842743,0.1600574,1
20.4,0.568164444,0.489918457,0.1990076,1
17.2,0.595467758,0.470557983,0.172881,1
21.844,0.595467758,0.470557983,0.172881,1
20.4,0.574392128,0.525386902,0.2172451,1
17.2,0.574392128,0.525386902,0.2172451,1
21.844,0.574392128,0.525386902,0.2172451,1
20.4,0.47238842,0.487622406,0.1600001,1
17.2,0.47238842,0.487622406,0.1600001,1
20.4,0.255309219,0.341515411,0.1885283,1
21.844,0.327278175,0.304296814,0.2499617,1
10.4,0.303505325,0.295312958,0.244227,1
17.2,0.303505325,0.295312958,0.244227,1
10.4,0.278419685,0.275958832,0.2373524,1
26.0,0.33384861,0.331973114,0.2890507,1
26.0,0.821837234,0.434031464,0.27,1
26.0,0.262171955,0.346775055,0.31,1
26.0,0.660539169,0.397783752,0.2700001,1
26.0,0.106398506,0.237277893,0.3072537,0
26.0,0.002341401,0.236974472,0.2918339,0
26.0,0.538322144,0.380590149,0.2715336,0
26.0,0.442371101,0.265782318,0.3080758,1
26.0,0.186223774,0.292557129,0.27,0
26.0,0.374429131,0.320230011,0.2700505,0
7.6,0.574193611,0.402857575,0.2700004,0
7.6,0.0,0.100595772,0.2700001,0
6.4,0.562630959,0.563207581,0.2136472,1
4.0,0.562630959,0.563207581,0.2136472,0
4.0,0.65524826,0.733428406,0.2346535,0
3.2,0.65524826,0.733428406,0.2346535,0
4.0,0.182751427,0.461550263,0.1938078,0
3.2,0.182751427,0.461550263,0.1938078,0
2.0,0.720025406,0.692528442,0.2079772,0
4.0,0.720025406,0.692528442,0.2079772,1
4.0,0.58656601,0.698600708,0.227761,0
3.2,0.58656601,0.698600708,0.227761,0
4.0,0.261725845,0.512287048,0.19,0
3.2,0.261725845,0.512287048,0.19,0
2.0,0.643276825,0.62979718,0.2052804,0
4.0,0.643276825,0.62979718,0.2052804,0
5.59,0.114479713,0.102325829,0.3194942,0
6.1,0.114479713,0.102325829,0.3194942,0
14.22,0.114479713,0.102325829,0.3194942,0
6.6,0.114479713,0.102325829,0.3194942,0
5.59,0.400327034,0.089560967,0.316281,0
6.1,0.400327034,0.089560967,0.316281,0
14.22,0.400327034,0.089560967,0.316281,0
6.6,0.400327034,0.089560967,0.316281,0
5.59,0.131464224,0.027752607,0.3186705,0
6.1,0.131464224,0.027752607,0.3186705,0
14.22,0.131464224,0.027752607,0.3186705,0
6.6,0.131464224,0.027752607,0.3186705,0
14.0,0.826530762,0.568273377,0.0,0
