fire_name,year,fire_id,fire_segid,database,state,response,stormdate,gaugedist_m,stormstart,stormend,stormdur_h,stormaccum_mm,stormavgi_mmh,peak_i15_mmh,peak_i30_mmh,peak_i60_mmh,contributingarea_km2,prophm23,dnbr1000,kf,acc015_mm,acc030_mm,acc060_mm,geom,lon,lat,SiteID,NB,GR,GS,SH,TU,TL,dom,Fine fuel load,SAV,Packing ratio,Extinction moisture content,Igneous,Metamorphic,Sedimentary,Unconsolidated,domrt
Gap,2008,gap,gap_1306,Training,CA,0,25,2505.99,2008-11-25 14:08:00,2008-11-26 18:29:00,27.003672864538878,23.517172003627298,0.78,10.252711241706304,6.008974444957328,5.788400286678389,6.030509,0.424452782,0.308938049,0.1906918,2.477077166676982,3.068448567687592,5.0198771512310625,POINT (-119.85950347097815 34.45978765790316),-119.85950347097815,34.45978765790316,170,0.0029269044134637603,0.1525841485018871,0.6353231148424864,0.05402449356851267,0.0005083570823384426,0.15463298159131172,GS2,1.9609833912707615,1754.97820007725,0.005538334955581307,16.52398609501738,0.0,0.0,0.9999999999999998,0.0,Sedimentary
Gap,2008,gap,gap_1306,Training,CA,0,9,2505.99,2009-02-05 07:18:00,2009-02-07 08:36:00,46.904703286386365,55.02891363127117,1.1,23.59101244545893,16.169760569805174,11.008652185929524,6.030509,0.424452782,0.308938049,0.1906918,5.6610517974742045,8.544943959022136,11.469134532181927,POINT (-119.85950347097815 34.45978765790316),-119.85950347097815,34.45978765790316,170,0.0029269044134637603,0.1525841485018871,0.6353231148424864,0.05402449356851267,0.0005083570823384426,0.15463298159131172,GS2,1.9609833912707615,1754.97820007725,0.005538334955581307,16.52398609501738,0.0,0.0,0.9999999999999998,0.0,Sedimentary
Gap,2008,gap,gap_1465,Training,CA,0,25,2212.65,2008-11-25 14:08:00,2008-11-26 18:29:00,29.11760964110809,21.833495625441973,0.78,10.493841752817291,6.859969291176154,5.276773456535171,7.267796,0.279821053,0.291285858,0.1700111,2.6367937889751927,2.89376023360349,5.6982526754050795,POINT (-119.84466094688423 34.46175678015242),-119.84466094688423,34.46175678015242,171,0.007139384324061517,0.228038076716395,0.6049540674019295,0.05175413905166458,0.0011131298139665806,0.1070012026919829,GS2,1.9712461340206187,1771.3754896907217,0.0045697829896907205,16.049806701030928,0.0,0.0,0.9999999999999989,0.0,Sedimentary
Gap,2008,gap,gap_1465,Training,CA,0,9,2212.65,2009-02-05 07:18:00,2009-02-07 08:36:00,47.774632971288064,54.13661726497688,1.1,22.502986576061506,14.860028077550508,11.50466310982236,7.267796,0.279821053,0.291285858,0.1700111,5.987019730374044,7.887730367862927,10.150703757280324,POINT (-119.84466094688423 34.46175678015242),-119.84466094688423,34.46175678015242,171,0.007139384324061517,0.228038076716395,0.6049540674019295,0.05175413905166458,0.0011131298139665806,0.1070012026919829,GS2,1.9712461340206187,1771.3754896907217,0.0045697829896907205,16.049806701030928,0.0,0.0,0.9999999999999989,0.0,Sedimentary
Gladiator,2012,gld,gld_1250,Test,AZ,0,14,1779.17,2012-07-14 06:57:00,2012-07-14 09:48:00,3.019055546464154,40.59108421513878,13.9020021,32.24567260593415,27.798493092933217,23.55965215225737,0.8252667,0.591378136,0.464972443,0.1300001,9.060087407758747,16.02835050060711,23.087909620094212,POINT (-112.30225679195928 34.25824239485338),-112.30225679195928,34.25824239485338,172,0.1676373187164554,0.39488409272581937,0.32728103231700356,0.09421034600890715,0.0,0.01598721023181455,GR2,2.058931266291673,1753.3149951982439,0.00262157497599122,15.105638633557415,0.0,0.9999999999999972,0.0,0.0,Metamorphic
Gladiator,2012,gld,gld_1250,Test,AZ,0,14,1779.17,2012-07-14 16:14:00,2012-07-14 18:52:00,2.591780625569812,54.34351128344153,20.9836003,52.19152342139028,34.337428160021794,36.29762643407923,0.8252667,0.591378136,0.464972443,0.1300001,10.99615326698116,17.666104209768047,36.465439041287176,POINT (-112.30225679195928 34.25824239485338),-112.30225679195928,34.25824239485338,172,0.1676373187164554,0.39488409272581937,0.32728103231700356,0.09421034600890715,0.0,0.01598721023181455,GR2,2.058931266291673,1753.3149951982439,0.00262157497599122,15.105638633557415,0.0,0.9999999999999972,0.0,0.0,Metamorphic
Gladiator,2012,gld,gld_1250,Test,AZ,0,24,1779.17,2012-07-24 16:54:00,2012-07-24 18:10:00,1.3312528525256115,24.406506580163818,20.4908947,39.47334632227299,24.90673858966271,21.353038950858423,0.8252667,0.591378136,0.464972443,0.1300001,8.999224672870799,12.298958846714509,21.47743863023175,POINT (-112.30225679195928 34.25824239485338),-112.30225679195928,34.25824239485338,172,0.1676373187164554,0.39488409272581937,0.32728103231700356,0.09421034600890715,0.0,0.01598721023181455,GR2,2.058931266291673,1753.3149951982439,0.00262157497599122,15.105638633557415,0.0,0.9999999999999972,0.0,0.0,Metamorphic
Gladiator,2012,gld,gld_1250,Test,AZ,0,21,1779.17,2012-08-21 12:42:00,2012-08-21 17:08:00,4.864558000290723,25.838208264171442,6.37861011,14.124370850809067,11.497534427608297,9.139954935298295,0.8252667,0.591378136,0.464972443,0.1300001,3.501517863830734,5.511182379464343,10.87899316332027,POINT (-112.30225679195928 34.25824239485338),-112.30225679195928,34.25824239485338,172,0.1676373187164554,0.39488409272581937,0.32728103231700356,0.09421034600890715,0.0,0.01598721023181455,GR2,2.058931266291673,1753.3149951982439,0.00262157497599122,15.105638633557415,0.0,0.9999999999999972,0.0,0.0,Metamorphic
Gladiator,2012,gld,gld_1250,Test,AZ,0,2,1779.17,2012-09-02 12:18:00,2012-09-02 15:00:00,2.5921341033483065,17.674666124006563,7.04220659,38.42137639717491,21.899239998366674,10.861571461714158,0.8252667,0.591378136,0.464972443,0.1300001,9.21177992139864,9.588509092248849,12.25346191498449,POINT (-112.30225679195928 34.25824239485338),-112.30225679195928,34.25824239485338,172,0.1676373187164554,0.39488409272581937,0.32728103231700356,0.09421034600890715,0.0,0.01598721023181455,GR2,2.058931266291673,1753.3149951982439,0.00262157497599122,15.105638633557415,0.0,0.9999999999999972,0.0,0.0,Metamorphic
Gladiator,2012,gld,gld_1253,Test,AZ,0,14,1822.86,2012-07-14 06:57:00,2012-07-14 09:48:00,2.6465133221071167,36.41992771082507,13.9020021,37.671836435477594,29.934399391074773,20.792649326675516,0.632925,0.716361084,0.557073364,0.1300001,8.994786662750093,13.99898196624832,20.250064429993092,POINT (-112.30184437810533 34.25790861314813),-112.30184437810533,34.25790861314813,173,0.19103830402312696,0.3440134907251265,0.3428892636312535,0.08182767204689632,0.0,0.040231269573596726,GR2,1.962035934087751,1756.990768314473,0.003467355568790947,15.262060750446695,0.0,0.9999999999999974,0.0,0.0,Metamorphic
