Fire Name,Year,Fire_ID,Fire_SegID,Database,State,UTM_Zone,UTM_X,UTM_Y,Response,StormDate,GaugeDist_m,StormStart,StormEnd,StormDur_H,StormAccum_mm,StormAvgI_mm/h,Peak_I15_mm/h,Peak_I30_mm/h,Peak_I60_mm/h,ContributingArea_km2,PropHM23,dNBR/1000,KF,Acc015_mm,Acc030_mm,Acc060_mm
Buckweed,2007,bck,bck_647,Training,CA,11,368978.5165,3824011.989,0,2008-01-22 00:00:00,1211.84,2008-01-21 16:27:00,2008-01-22 19:20:00,26.883,5.4,0.2,3.2,2.0,2.0,0.2928667,0.084582825,0.248775864,0.25,0.8,1.0,2.0
Buckweed,2007,bck,bck_651,Training,CA,11,368543.5165,3824139.489,0,2008-01-22 00:00:00,997.042522,2008-01-21 16:27:00,2008-01-22 19:20:00,26.883,5.4,0.2,3.2,2.0,2.0,0.0380143,0.187328587,0.129095383,0.25,0.8,1.0,2.0
Buckweed,2007,bck,bck_688,Training,CA,11,369043.5165,3824061.989,0,2008-01-22 00:00:00,1190.92,2008-01-21 16:27:00,2008-01-22 19:20:00,26.883,5.4,0.2,3.2,2.0,2.0,0.1763375,0.114014301,0.304394623,0.25,0.8,1.0,2.0
Buckweed,2007,bck,bck_736,Training,CA,11,368376.0165,3823799.489,0,2008-01-22 00:00:00,1262.05,2008-01-21 16:27:00,2008-01-22 19:20:00,26.883,5.4,0.2,3.2,2.0,2.0,0.9858278,0.291070766,0.235931793,0.25,0.8,1.0,2.0
Buckweed,2007,bck,bck_813,Training,CA,11,368633.5165,3823761.989,0,2008-01-22 00:00:00,1269.79,2008-01-21 16:27:00,2008-01-22 19:20:00,26.883,5.4,0.2,3.2,2.0,2.0,0.060305,0.113751984,0.315949493,0.25,0.8,1.0,2.0
Buckweed,2007,bck,bck_853,Training,CA,11,368171.0165,3823611.989,0,2008-01-22 00:00:00,1531.57,2008-01-21 16:27:00,2008-01-22 19:20:00,26.883,5.4,0.2,3.2,2.0,2.0,0.03985,0.361030197,0.261058685,0.25,0.8,1.0,2.0
Blaisdell,2005,bla,bla_122,Training,CA,11,532280.1647,3749794.79,0,2006-03-10 00:00:00,3535.95,2006-03-10 09:47:00,2006-03-11 20:38:00,34.85,24.89,0.71,9.14,7.62,4.06,3.5556591,0.021712091,0.069520134,0.0554303,2.285,3.81,4.06
Blaisdell,2005,bla,bla_122,Training,CA,11,532280.1647,3749794.79,0,2006-02-27 00:00:00,3535.95,2006-02-27 19:21:00,2006-02-28 10:24:00,15.067,38.1,2.53,7.11,6.1,5.33,3.5556591,0.021712091,0.069520134,0.0554303,1.7775,3.05,5.33
Blaisdell,2005,bla,bla_236,Training,CA,11,534595.1647,3749114.79,0,2006-03-10 00:00:00,782.874116,2006-03-10 09:47:00,2006-03-11 20:38:00,34.85,24.89,0.71,9.14,7.62,4.06,1.9021167,0.079713044,0.07606485,0.0542726,2.285,3.81,4.06
Blaisdell,2005,bla,bla_236,Training,CA,11,534595.1647,3749114.79,0,2006-02-27 00:00:00,782.874116,2006-02-27 19:21:00,2006-02-28 10:24:00,15.067,38.1,2.53,7.11,6.1,5.33,1.9021167,0.079713044,0.07606485,0.0542726,1.7775,3.05,5.33
Blaisdell,2005,bla,bla_346,Training,CA,11,535057.6647,3748597.29,0,2006-03-10 00:00:00,132.344873,2006-03-10 09:47:00,2006-03-11 20:38:00,34.85,24.89,0.71,9.14,7.62,4.06,0.4660235,0.001074681,0.080441063,0.0509787,2.285,3.81,4.06
Blaisdell,2005,bla,bla_346,Training,CA,11,535057.6647,3748597.29,0,2006-02-27 00:00:00,132.344873,2006-02-27 19:21:00,2006-02-28 10:24:00,15.067,38.1,2.53,7.11,6.1,5.33,0.4660235,0.001074681,0.080441063,0.0509787,1.7775,3.05,5.33
Blaisdell,2005,bla,bla_451,Training,CA,11,534835.1647,3748244.79,0,2006-03-10 00:00:00,552.859276,2006-03-10 09:47:00,2006-03-11 20:38:00,34.85,24.89,0.71,9.14,7.62,4.06,5.0281906,0.0197688,0.061923843,0.0782609,2.285,3.81,4.06
Blaisdell,2005,bla,bla_451,Training,CA,11,534835.1647,3748244.79,0,2006-02-27 00:00:00,552.859276,2006-02-27 19:21:00,2006-02-28 10:24:00,15.067,38.1,2.53,7.11,6.1,5.33,5.0281906,0.0197688,0.061923843,0.0782609,1.7775,3.05,5.33
Blaisdell,2005,bla,bla_472,Training,CA,11,534257.6647,3747992.29,0,2006-03-10 00:00:00,1166.22,2006-03-10 09:47:00,2006-03-11 20:38:00,34.85,24.89,0.71,9.14,7.62,4.06,4.6308999,0.007514808,0.019152323,0.0969892,2.285,3.81,4.06
Blaisdell,2005,bla,bla_472,Training,CA,11,534257.6647,3747992.29,0,2006-02-27 00:00:00,1166.22,2006-02-27 19:21:00,2006-02-28 10:24:00,15.067,38.1,2.53,7.11,6.1,5.33,4.6308999,0.007514808,0.019152323,0.0969892,1.7775,3.05,5.33
Canyon,2007,can,can_129,Training,CA,11,343902.8975,3770239.803,0,2008-01-22 00:00:00,1219.86,2008-01-21 09:30:00,2008-01-22 04:42:00,19.2,4.4,0.23,4.0,2.4,2.0,2.7295666,0.876595535,0.168275986,0.2096025,1.0,1.2,2.0
Canyon,2007,can,can_144,Training,CA,11,343945.3975,3770179.803,0,2008-01-22 00:00:00,1344.29,2008-01-21 09:30:00,2008-01-22 04:42:00,19.2,4.4,0.23,4.0,2.4,2.0,0.1944072,0.719425888,0.110799873,0.2099999,1.0,1.2,2.0
Canyon,2007,can,can_25,Training,CA,11,342465.3975,3771054.803,0,2008-01-22 00:00:00,1000.48,2008-01-21 09:30:00,2008-01-22 04:42:00,19.2,4.4,0.23,4.0,2.4,2.0,1.7165166,0.909847412,0.281745941,0.2096428,1.0,1.2,2.0
Canyon,2007,can,can_36,Training,CA,11,343385.3975,3770789.803,0,2008-01-22 00:00:00,451.510927,2008-01-21 09:30:00,2008-01-22 04:42:00,19.2,4.4,0.23,4.0,2.4,2.0,2.9720125,0.818043442,0.066840515,0.2095306,1.0,1.2,2.0
Canyon,2007,can,can_39,Training,CA,11,343465.3975,3770902.303,0,2008-01-22 00:00:00,433.895102,2008-01-21 09:30:00,2008-01-22 04:42:00,19.2,4.4,0.23,4.0,2.4,2.0,0.0297792,0.471340675,0.030235754,0.21,1.0,1.2,2.0
Canyon,2007,can,can_44,Training,CA,11,343565.3975,3770809.803,0,2008-01-22 00:00:00,516.787202,2008-01-21 09:30:00,2008-01-22 04:42:00,19.2,4.4,0.23,4.0,2.4,2.0,0.0326591,0.763482819,0.106718994,0.21,1.0,1.2,2.0
Canyon,2007,can,can_534,Training,CA,11,342825.3975,3767799.803,0,2008-01-22 00:00:00,888.605635,2008-01-23 12:44:00,2008-01-25 11:28:00,46.8,37.2,0.794872,13.5,8.625,5.2,0.4727636,0.671573029,0.067930351,0.2100001,3.375,4.3125,5.2
Canyon,2007,can,can_539,Training,CA,11,343067.8975,3767667.303,0,2008-01-22 00:00:00,975.384458,2008-01-23 12:44:00,2008-01-25 11:28:00,46.8,37.2,0.794872,13.5,8.625,5.2,0.31115,0.426220627,0.061877991,0.21,3.375,4.3125,5.2
Canyon,2007,can,can_62,Training,CA,11,342925.3975,3770772.303,0,2008-01-22 00:00:00,807.20159,2008-01-21 09:30:00,2008-01-22 04:42:00,19.2,4.4,0.23,4.0,2.4,2.0,0.0763458,0.887799683,0.161138992,0.21,1.0,1.2,2.0
Canyon,2007,can,can_92,Training,CA,11,343782.8975,3770537.303,0,2008-01-22 00:00:00,878.841334,2008-01-21 09:30:00,2008-01-22 04:42:00,19.2,4.4,0.23,4.0,2.4,2.0,0.5061455,0.46763176,0.025954779,0.2100001,1.0,1.2,2.0
